Report Date,Stock price,Y_boolean,(Dividends + Share Buyback) / FCF,Asset Turnover,CapEx / (Depr + Amor),Current Ratio,Debt Ratio,Dividends / FCF,Dummy_Dividends,Gross Profit Margin,Interest Coverage,Inventory Turnover,Log Revenue,Net Profit Margin,Quick Ratio,R&D / Gross Profit,R&D / Revenue,Return on Assets,Return on Equity,Return on Research Capital,Share Buyback / FCF,tweet_polarity,tweet_subjectivity,RSI_ratio,MACD,p_diff
2020/3/2,368.9500122,1,0.033125004,0.077967161,0,2.407694134,0.054908071,0,0,0.529186712,9.76335752,1.127112112,8.795482369,0.886388823,1.664633156,0.172706612,0.091394044,0.06910922,0.096173852,5.79016629,0.033125004,0.031290685,0.262565837,0.793068873,-3.527088165,3.486507103
2020/3/3,370,0,0.033125004,0.077967161,0,2.407694134,0.054908071,0,0,0.529186712,9.76335752,1.127112112,8.795482369,0.886388823,1.664633156,0.172706612,0.091394044,0.06910922,0.096173852,5.79016629,0.033125004,0.057314815,0.292760141,0.793068873,-5.656341712,0.831689383
2020/3/4,384.9299927,1,0.033125004,0.077967161,0,2.407694134,0.054908071,0,0,0.529186712,9.76335752,1.127112112,8.795482369,0.886388823,1.664633156,0.172706612,0.091394044,0.06910922,0.096173852,5.79016629,0.033125004,0.031429302,0.376229719,0.793068873,-9.773140517,-0.451637389
2020/3/5,386.6799927,1,0.033125004,0.077967161,0,2.407694134,0.054908071,0,0,0.529186712,9.76335752,1.127112112,8.795482369,0.886388823,1.664633156,0.172706612,0.091394044,0.06910922,0.096173852,5.79016629,0.033125004,-0.037988893,0.283283644,0.793068873,-12.13197563,-2.208709432
2020/3/6,374.5599976,-1,0.033125004,0.077967161,0,2.407694134,0.054908071,0,0,0.529186712,9.76335752,1.127112112,8.795482369,0.886388823,1.664633156,0.172706612,0.091394044,0.06910922,0.096173852,5.79016629,0.033125004,-0.019595535,0.299780473,0.793068873,-10.47746481,-0.484177255
2020/3/7,366.8199972,-1,0.033125004,0.077967161,0,2.407694134,0.054908071,0,0,0.529186712,9.76335752,1.127112112,8.795482369,0.886388823,1.664633156,0.172706612,0.091394044,0.06910922,0.096173852,5.79016629,0.033125004,0.019185377,0.29377765,0.793068873,-8.397733948,-1.979068771
2020/3/8,359.0799967,-1,0.033125004,0.077967161,0,2.407694134,0.054908071,0,0,0.529186712,9.76335752,1.127112112,8.795482369,0.886388823,1.664633156,0.172706612,0.091394044,0.06910922,0.096173852,5.79016629,0.033125004,-0.039738891,0.294670499,0.793068873,-6.318003082,-3.071311515
2020/3/9,351.3399963,-1,0.033125004,0.077967161,0,2.407694134,0.054908071,0,0,0.529186712,9.76335752,1.127112112,8.795482369,0.886388823,1.664633156,0.172706612,0.091394044,0.06910922,0.096173852,5.79016629,0.033125004,0.075551994,0.360078348,0.793068873,-4.238272216,-2.901210418
2020/3/10,367.5899963,1,0.033125004,0.077967161,0,2.407694134,0.054908071,0,0,0.529186712,9.76335752,1.127112112,8.795482369,0.886388823,1.664633156,0.172706612,0.091394044,0.06910922,0.096173852,5.79016629,0.033125004,-0.017985284,0.315482804,0.793068873,-3.807565191,-1.238051749
2020/3/11,345.7900085,-1,0.033125004,0.077967161,0,2.407694134,0.054908071,0,0,0.529186712,9.76335752,1.127112112,8.795482369,0.886388823,1.664633156,0.172706612,0.091394044,0.06910922,0.096173852,5.79016629,0.033125004,0.050140928,0.391964469,0.793068873,1.143993246,-3.787886298
2020/3/12,320.0100098,-1,0.033125004,0.077967161,0,2.407694134,0.054908071,0,0,0.529186712,9.76335752,1.127112112,8.795482369,0.886388823,1.664633156,0.172706612,0.091394044,0.06910922,0.096173852,5.79016629,0.033125004,0.052007339,0.340444161,0.793068873,9.355569029,0.0372233
2020/3/13,347.7900085,1,0.033125004,0.077967161,0,2.407694134,0.054908071,0,0,0.529186712,9.76335752,1.127112112,8.795482369,0.886388823,1.664633156,0.172706612,0.091394044,0.06910922,0.096173852,5.79016629,0.033125004,0.061266208,0.349215024,0.793068873,7.96833978,0.178030062
2020/3/14,343.7633362,-1,0.033125004,0.077967161,0,2.407694134,0.054908071,0,0,0.529186712,9.76335752,1.127112112,8.795482369,0.886388823,1.664633156,0.172706612,0.091394044,0.06910922,0.096173852,5.79016629,0.033125004,0.069097022,0.357402264,0.793068873,8.426819449,0.1278162
2020/3/15,339.7366638,-1,0.033125004,0.077967161,0,2.407694134,0.054908071,0,0,0.529186712,9.76335752,1.127112112,8.795482369,0.886388823,1.664633156,0.172706612,0.091394044,0.06910922,0.096173852,5.79016629,0.033125004,0.060179955,0.361805708,0.793068873,8.885299118,-0.129051399
2020/3/16,335.7099915,-1,0.033125004,0.077967161,0,2.407694134,0.054908071,0,0,0.529186712,9.76335752,1.127112112,8.795482369,0.886388823,1.664633156,0.172706612,0.091394044,0.06910922,0.096173852,5.79016629,0.033125004,0.077832876,0.360338078,0.793068873,9.343778788,0.293335556
2020/3/17,358.7799988,1,0.033125004,0.077967161,0,2.407694134,0.054908071,0,0,0.529186712,9.76335752,1.127112112,8.795482369,0.886388823,1.664633156,0.172706612,0.091394044,0.06910922,0.096173852,5.79016629,0.033125004,0.071491837,0.352449234,0.793068873,4.950542567,-0.081469925
2020/3/18,359,0,0.033125004,0.077967161,0,2.407694134,0.054908071,0,0,0.529186712,9.76335752,1.127112112,8.795482369,0.886388823,1.664633156,0.172706612,0.091394044,0.06910922,0.096173852,5.79016629,0.033125004,0.061226269,0.360243773,0.793068873,2.135715243,-0.143590764
2020/3/19,346.7999878,-1,0.033125004,0.077967161,0,2.407694134,0.054908071,0,0,0.529186712,9.76335752,1.127112112,8.795482369,0.886388823,1.664633156,0.172706612,0.091394044,0.06910922,0.096173852,5.79016629,0.033125004,0.053563565,0.357380531,0.793068873,2.946413713,-0.125153865
2020/3/20,329.0100098,-1,0.033125004,0.077967161,0,2.407694134,0.054908071,0,0,0.529186712,9.76335752,1.127112112,8.795482369,0.886388823,1.664633156,0.172706612,0.091394044,0.06910922,0.096173852,5.79016629,0.033125004,0.060126626,0.35336489,0.793068873,7.002799337,0.122528454
